txn_id,from_account,from_name,to_account,to_name,amount_inr,timestamp,type,flag
T00032,XXXX9179,Thiru Ramaswamy,XXXX6313,Gopal Rao,2500,2026-08-11 13:00,IMPS,
T00033,XXXX9179,Thiru Ramaswamy,XXXX8702,Lokesh Velu,4000,2026-08-12 20:00,UPI,
T00034,XXXX9179,Thiru Ramaswamy,XXXX8702,Lokesh Velu,2500,2026-08-14 12:00,IMPS,
T00035,XXXX6930,Murugan Shetty,XXXX8780,Ravi Gupta,1200,2026-08-01 16:00,UPI,
T00036,XXXX6930,Murugan Shetty,XXXX8777,Kannan Velu,1200,2026-08-02 19:00,IMPS,
T00037,XXXX6930,Murugan Shetty,XXXX8777,Kannan Velu,4000,2026-08-08 09:00,UPI,
T00038,XXXX6930,Murugan Shetty,XXXX7965,Nithin Bose,10000,2026-08-09 19:00,IMPS,
T00039,XXXX6930,Murugan Shetty,XXXX8780,Ravi Gupta,7500,2026-08-11 16:00,IMPS,
T00040,XXXX6930,Murugan Shetty,XXXX8780,Ravi Gupta,500,2026-08-12 20:00,NEFT,
T00041,XXXX6930,Murugan Shetty,XXXX8780,Ravi Gupta,4000,2026-08-13 14:00,IMPS,
T00042,XXXX7252,Vijay Patel,XXXX8777,Kannan Velu,10000,2026-08-03 18:00,UPI,
T00043,XXXX7252,Vijay Patel,XXXX9335,Omkar Subramaniam,7500,2026-08-08 19:00,UPI,
T00044,XXXX7252,Vijay Patel,XXXX9335,Omkar Subramaniam,4000,2026-08-09 17:00,IMPS,
T00045,XXXX7252,Vijay Patel,XXXX6083,Ilango Subramaniam,1200,2026-08-10 13:00,IMPS,
T00046,XXXX7252,Vijay Patel,XXXX8777,Kannan Velu,500,2026-08-11 20:00,NEFT,
T00047,XXXX7252,Vijay Patel,XXXX9335,Omkar Subramaniam,2500,2026-08-12 13:00,NEFT,
T00048,XXXX7252,Vijay Patel,XXXX8777,Kannan Velu,2500,2026-08-13 20:00,IMPS,
T00049,XXXX7252,Vijay Patel,XXXX9335,Omkar Subramaniam,10000,2026-08-14 14:00,NEFT,
T00050,XXXX7252,Vijay Patel,XXXX5811,Unknown / Unlinked,500000,2026-08-03 20:00,IMPS,SUSPICIOUS_LARGE_TRANSFER
T00051,XXXX7252,Vijay Patel,XXXX5811,Unknown / Unlinked,350000,2026-08-03 23:00,IMPS,SUSPICIOUS_LARGE_TRANSFER
T00052,XXXX3591,Harish Subramaniam,XXXX2122,Suresh Balakrishnan,10000,2026-08-01 19:00,NEFT,
T00053,XXXX3591,Harish Subramaniam,XXXX9883,Arun Mohan,1200,2026-08-02 12:00,NEFT,
T00054,XXXX3591,Harish Subramaniam,XXXX4269,Selvam Kumar,2500,2026-08-04 12:00,NEFT,
T00055,XXXX3591,Harish Subramaniam,XXXX9883,Arun Mohan,1200,2026-08-05 14:00,UPI,
T00056,XXXX3591,Harish Subramaniam,XXXX4269,Selvam Kumar,2500,2026-08-06 17:00,UPI,
T00057,XXXX3591,Harish Subramaniam,XXXX2122,Suresh Balakrishnan,500,2026-08-08 15:00,NEFT,
T00058,XXXX3591,Harish Subramaniam,XXXX9883,Arun Mohan,10000,2026-08-10 16:00,NEFT,
T00059,XXXX3591,Harish Subramaniam,XXXX2122,Suresh Balakrishnan,10000,2026-08-11 14:00,IMPS,
T00060,XXXX3591,Harish Subramaniam,XXXX9883,Arun Mohan,4000,2026-08-14 09:00,UPI,
T00061,XXXX3591,Harish Subramaniam,XXXX1859,Unknown / Unlinked,500000,2026-08-11 18:00,IMPS,SUSPICIOUS_LARGE_TRANSFER
T00062,XXXX3646,Kannan Kumar,XXXX4470,Farook Iyer,500,2026-08-04 14:00,IMPS,
T00063,XXXX3646,Kannan Kumar,XXXX9548,Bharath Pandian,4000,2026-08-06 12:00,UPI,
T00064,XXXX3646,Kannan Kumar,XXXX9883,Arun Mohan,7500,2026-08-07 10:00,UPI,
T00065,XXXX3646,Kannan Kumar,XXXX9883,Arun Mohan,4000,2026-08-08 15:00,UPI,
T00066,XXXX3646,Kannan Kumar,XXXX9548,Bharath Pandian,2500,2026-08-10 10:00,IMPS,
T00067,XXXX3646,Kannan Kumar,XXXX1224,Mahesh Pillai,2500,2026-08-11 09:00,IMPS,
T00068,XXXX3646,Kannan Kumar,XXXX9883,Arun Mohan,7500,2026-08-13 18:00,UPI,
T00069,XXXX3646,Kannan Kumar,XXXX1224,Mahesh Pillai,4000,2026-08-14 16:00,UPI,
T00070,XXXX3646,Kannan Kumar,XXXX6891,Unknown / Unlinked,200000,2026-08-08 22:00,IMPS,SUSPICIOUS_LARGE_TRANSFER
T00071,XXXX3646,Kannan Kumar,XXXX6891,Unknown / Unlinked,750000,2026-08-08 21:00,IMPS,SUSPICIOUS_LARGE_TRANSFER
T00072,XXXX4946,Devan Ramaswamy,XXXX4082,Mahesh Gupta,7500,2026-08-04 11:00,NEFT,
T00073,XXXX4946,Devan Ramaswamy,XXXX7861,Naveen Murthy,500,2026-08-05 16:00,NEFT,
T00074,XXXX4946,Devan Ramaswamy,XXXX7861,Naveen Murthy,1200,2026-08-07 19:00,IMPS,
T00075,XXXX4946,Devan Ramaswamy,XXXX4082,Mahesh Gupta,500,2026-08-08 14:00,UPI,
T00076,XXXX4946,Devan Ramaswamy,XXXX4082,Mahesh Gupta,7500,2026-08-11 16:00,NEFT,
T00077,XXXX4946,Devan Ramaswamy,XXXX7861,Naveen Murthy,500,2026-08-14 13:00,UPI,
T00078,XXXX4470,Farook Iyer,XXXX1464,Ilango Chandran,10000,2026-08-01 14:00,UPI,
T00079,XXXX4470,Farook Iyer,XXXX1860,Dinesh Achari,500,2026-08-03 19:00,IMPS,
T00080,XXXX4470,Farook Iyer,XXXX1464,Ilango Chandran,10000,2026-08-07 18:00,IMPS,
T00081,XXXX4470,Farook Iyer,XXXX1464,Ilango Chandran,10000,2026-08-10 14:00,IMPS,
T00082,XXXX6539,Pandi Natarajan,XXXX2958,Gopal Krishnan,2500,2026-08-04 10:00,UPI,
T00083,XXXX6539,Pandi Natarajan,XXXX2122,Suresh Balakrishnan,7500,2026-08-05 16:00,NEFT,
T00084,XXXX6539,Pandi Natarajan,XXXX2958,Gopal Krishnan,500,2026-08-06 13:00,UPI,
T00085,XXXX6539,Pandi Natarajan,XXXX2122,Suresh Balakrishnan,7500,2026-08-09 17:00,NEFT,
T00086,XXXX6539,Pandi Natarajan,XXXX2122,Suresh Balakrishnan,7500,2026-08-12 19:00,IMPS,
T00087,XXXX6539,Pandi Natarajan,XXXX2958,Gopal Krishnan,4000,2026-08-13 09:00,UPI,
T00088,XXXX6539,Pandi Natarajan,XXXX2122,Suresh Balakrishnan,7500,2026-08-14 09:00,UPI,
T00089,XXXX2160,Rahul Das,XXXX2869,Manoj Gowda,500,2026-08-03 18:00,NEFT,
T00090,XXXX2160,Rahul Das,XXXX2869,Manoj Gowda,4000,2026-08-05 13:00,IMPS,
T00091,XXXX2160,Rahul Das,XXXX6375,Omkar Singh,500,2026-08-06 13:00,IMPS,
T00092,XXXX2160,Rahul Das,XXXX4082,Mahesh Gupta,7500,2026-08-07 12:00,NEFT,
T00093,XXXX2160,Rahul Das,XXXX6375,Omkar Singh,2500,2026-08-08 09:00,NEFT,
T00094,XXXX2160,Rahul Das,XXXX2869,Manoj Gowda,4000,2026-08-09 19:00,NEFT,
T00095,XXXX2160,Rahul Das,XXXX2869,Manoj Gowda,10000,2026-08-10 09:00,IMPS,
T00096,XXXX2160,Rahul Das,XXXX4082,Mahesh Gupta,10000,2026-08-12 12:00,NEFT,
T00097,XXXX2160,Rahul Das,XXXX4082,Mahesh Gupta,4000,2026-08-13 18:00,UPI,
T00098,XXXX4119,Bharath Menon,XXXX8532,Prakash Patel,4000,2026-08-01 15:00,NEFT,
T00099,XXXX4119,Bharath Menon,XXXX6813,Anand Ramaswamy,4000,2026-08-04 13:00,UPI,
T00100,XXXX4119,Bharath Menon,XXXX6813,Anand Ramaswamy,7500,2026-08-05 16:00,NEFT,
T00101,XXXX4119,Bharath Menon,XXXX3646,Kannan Kumar,2500,2026-08-06 17:00,NEFT,
T00102,XXXX4119,Bharath Menon,XXXX3646,Kannan Kumar,7500,2026-08-07 16:00,IMPS,
T00103,XXXX4119,Bharath Menon,XXXX6813,Anand Ramaswamy,1200,2026-08-11 16:00,IMPS,
T00104,XXXX4119,Bharath Menon,XXXX8532,Prakash Patel,10000,2026-08-12 14:00,NEFT,
T00105,XXXX4119,Bharath Menon,XXXX6813,Anand Ramaswamy,500,2026-08-13 12:00,NEFT,
T00106,XXXX4119,Bharath Menon,XXXX8161,Farook Menon,500,2026-08-14 15:00,UPI,
T00107,XXXX5073,Manoj Reddy,XXXX7818,Karthik Mohan,500,2026-08-03 19:00,UPI,
T00108,XXXX5073,Manoj Reddy,XXXX4119,Bharath Menon,7500,2026-08-06 20:00,UPI,
T00109,XXXX5073,Manoj Reddy,XXXX2646,Jagan Natarajan,7500,2026-08-07 19:00,IMPS,
T00110,XXXX5073,Manoj Reddy,XXXX2646,Jagan Natarajan,10000,2026-08-10 11:00,NEFT,
T00111,XXXX5073,Manoj Reddy,XXXX2646,Jagan Natarajan,1200,2026-08-11 19:00,UPI,
T00112,XXXX5073,Manoj Reddy,XXXX4119,Bharath Menon,10000,2026-08-12 19:00,IMPS,
T00113,XXXX5073,Manoj Reddy,XXXX2646,Jagan Natarajan,4000,2026-08-13 11:00,IMPS,
T00114,XXXX1828,Ganesh Rao,XXXX4144,Pandi Pillai,4000,2026-08-02 12:00,UPI,
T00115,XXXX1828,Ganesh Rao,XXXX4144,Pandi Pillai,7500,2026-08-03 09:00,UPI,
T00116,XXXX1828,Ganesh Rao,XXXX9254,Suresh Patel,10000,2026-08-04 10:00,IMPS,
T00117,XXXX1828,Ganesh Rao,XXXX4119,Bharath Menon,4000,2026-08-06 19:00,NEFT,
T00118,XXXX1828,Ganesh Rao,XXXX4119,Bharath Menon,2500,2026-08-07 16:00,IMPS,
T00119,XXXX1828,Ganesh Rao,XXXX2122,Suresh Balakrishnan,7500,2026-08-09 19:00,UPI,
T00120,XXXX1828,Ganesh Rao,XXXX2122,Suresh Balakrishnan,10000,2026-08-10 15:00,NEFT,
T00121,XXXX1828,Ganesh Rao,XXXX4119,Bharath Menon,7500,2026-08-12 20:00,UPI,
T00122,XXXX1828,Ganesh Rao,XXXX9254,Suresh Patel,500,2026-08-13 09:00,IMPS,
T00123,XXXX1828,Ganesh Rao,XXXX4144,Pandi Pillai,2500,2026-08-14 19:00,IMPS,
T00124,XXXX7209,Kishore Chandran,XXXX2646,Jagan Natarajan,7500,2026-08-01 11:00,NEFT,
T00125,XXXX7209,Kishore Chandran,XXXX1440,Rajesh Natarajan,500,2026-08-02 10:00,UPI,
T00126,XXXX7209,Kishore Chandran,XXXX8625,Anand Subramaniam,1200,2026-08-04 18:00,UPI,
T00127,XXXX7209,Kishore Chandran,XXXX8625,Anand Subramaniam,4000,2026-08-05 12:00,UPI,
T00128,XXXX7209,Kishore Chandran,XXXX8967,Lokesh Natarajan,2500,2026-08-07 19:00,NEFT,
T00129,XXXX7209,Kishore Chandran,XXXX8625,Anand Subramaniam,2500,2026-08-09 10:00,IMPS,
T00130,XXXX7209,Kishore Chandran,XXXX1440,Rajesh Natarajan,10000,2026-08-12 16:00,UPI,
T00131,XXXX7209,Kishore Chandran,XXXX2646,Jagan Natarajan,7500,2026-08-14 15:00,NEFT,
T00132,XXXX9883,Arun Mohan,XXXX3780,Arun Verma,4000,2026-08-01 11:00,NEFT,
T00133,XXXX9883,Arun Mohan,XXXX3780,Arun Verma,4000,2026-08-02 11:00,IMPS,
T00134,XXXX9883,Arun Mohan,XXXX3780,Arun Verma,1200,2026-08-07 09:00,IMPS,
T00135,XXXX9883,Arun Mohan,XXXX3129,Karthik Venkatesh,500,2026-08-11 20:00,NEFT,
T00136,XXXX9883,Arun Mohan,XXXX3780,Arun Verma,500,2026-08-14 15:00,IMPS,
T00137,XXXX2122,Suresh Balakrishnan,XXXX9609,Ashok Krishnan,7500,2026-08-01 13:00,NEFT,
T00138,XXXX2122,Suresh Balakrishnan,XXXX9609,Ashok Krishnan,1200,2026-08-02 10:00,UPI,
T00139,XXXX2122,Suresh Balakrishnan,XXXX1152,Kumar Achari,10000,2026-08-04 13:00,NEFT,
T00140,XXXX2122,Suresh Balakrishnan,XXXX6295,Anand Reddy,500,2026-08-05 14:00,UPI,
T00141,XXXX2122,Suresh Balakrishnan,XXXX9565,Harish Iyer,10000,2026-08-07 17:00,UPI,
T00142,XXXX2122,Suresh Balakrishnan,XXXX1152,Kumar Achari,7500,2026-08-08 13:00,UPI,
T00143,XXXX2122,Suresh Balakrishnan,XXXX9565,Harish Iyer,7500,2026-08-10 19:00,IMPS,
T00144,XXXX2122,Suresh Balakrishnan,XXXX9565,Harish Iyer,10000,2026-08-11 10:00,IMPS,
T00145,XXXX9565,Harish Iyer,XXXX4648,Elango Subramaniam,500,2026-08-01 18:00,IMPS,
T00146,XXXX9565,Harish Iyer,XXXX4648,Elango Subramaniam,500,2026-08-03 14:00,IMPS,
T00147,XXXX9565,Harish Iyer,XXXX4648,Elango Subramaniam,500,2026-08-07 18:00,IMPS,
T00148,XXXX9565,Harish Iyer,XXXX4648,Elango Subramaniam,10000,2026-08-10 18:00,UPI,
T00149,XXXX9565,Harish Iyer,XXXX4648,Elango Subramaniam,2500,2026-08-13 12:00,IMPS,
T00150,XXXX9565,Harish Iyer,XXXX9254,Suresh Patel,1200,2026-08-14 13:00,UPI,
T00151,XXXX1152,Kumar Achari,XXXX9813,Eswar Raj,500,2026-08-02 12:00,IMPS,
T00152,XXXX1152,Kumar Achari,XXXX9813,Eswar Raj,500,2026-08-04 17:00,UPI,
T00153,XXXX1152,Kumar Achari,XXXX4470,Farook Iyer,1200,2026-08-05 09:00,UPI,
T00154,XXXX1152,Kumar Achari,XXXX9813,Eswar Raj,4000,2026-08-08 13:00,UPI,
T00155,XXXX1152,Kumar Achari,XXXX9813,Eswar Raj,1200,2026-08-09 20:00,UPI,
T00156,XXXX1152,Kumar Achari,XXXX8555,Selvam Das,1200,2026-08-14 09:00,NEFT,
T00157,XXXX7054,Kannan Bose,XXXX9254,Suresh Patel,4000,2026-08-03 18:00,IMPS,
T00158,XXXX7054,Kannan Bose,XXXX9254,Suresh Patel,7500,2026-08-04 13:00,IMPS,
T00159,XXXX7054,Kannan Bose,XXXX3363,Bharath Subramaniam,1200,2026-08-05 18:00,UPI,
T00160,XXXX7054,Kannan Bose,XXXX9254,Suresh Patel,2500,2026-08-06 20:00,UPI,
T00161,XXXX7054,Kannan Bose,XXXX9254,Suresh Patel,4000,2026-08-07 16:00,UPI,
T00162,XXXX7054,Kannan Bose,XXXX3363,Bharath Subramaniam,10000,2026-08-08 17:00,NEFT,
T00163,XXXX7054,Kannan Bose,XXXX3363,Bharath Subramaniam,4000,2026-08-11 13:00,UPI,
T00164,XXXX7054,Kannan Bose,XXXX9254,Suresh Patel,4000,2026-08-12 12:00,UPI,
T00165,XXXX7054,Kannan Bose,XXXX3363,Bharath Subramaniam,2500,2026-08-13 15:00,IMPS,
T00166,XXXX2891,Ramesh Nair,XXXX9335,Omkar Subramaniam,4000,2026-08-02 20:00,UPI,
T00167,XXXX2891,Ramesh Nair,XXXX9977,Kumar Mohan,1200,2026-08-04 09:00,IMPS,
T00168,XXXX2891,Ramesh Nair,XXXX9335,Omkar Subramaniam,1200,2026-08-06 16:00,IMPS,
T00169,XXXX2891,Ramesh Nair,XXXX9977,Kumar Mohan,2500,2026-08-07 15:00,IMPS,
T00170,XXXX2891,Ramesh Nair,XXXX4119,Bharath Menon,1200,2026-08-08 14:00,UPI,
T00171,XXXX2891,Ramesh Nair,XXXX9335,Omkar Subramaniam,7500,2026-08-09 20:00,UPI,
T00172,XXXX2891,Ramesh Nair,XXXX6313,Gopal Rao,500,2026-08-11 17:00,NEFT,
T00173,XXXX2891,Ramesh Nair,XXXX9977,Kumar Mohan,7500,2026-08-12 18:00,UPI,
T00174,XXXX2891,Ramesh Nair,XXXX8011,Unknown / Unlinked,150000,2026-08-09 23:00,IMPS,SUSPICIOUS_LARGE_TRANSFER
T00175,XXXX1832,Manoj Balakrishnan,XXXX3591,Harish Subramaniam,10000,2026-08-01 18:00,UPI,
T00176,XXXX1832,Manoj Balakrishnan,XXXX3591,Harish Subramaniam,7500,2026-08-04 11:00,IMPS,
T00177,XXXX1832,Manoj Balakrishnan,XXXX2527,Selvam Balakrishnan,7500,2026-08-06 11:00,IMPS,
T00178,XXXX1832,Manoj Balakrishnan,XXXX2527,Selvam Balakrishnan,4000,2026-08-08 16:00,UPI,
T00179,XXXX1832,Manoj Balakrishnan,XXXX3591,Harish Subramaniam,10000,2026-08-09 14:00,NEFT,
T00180,XXXX1832,Manoj Balakrishnan,XXXX2527,Selvam Balakrishnan,4000,2026-08-10 16:00,UPI,
T00181,XXXX1832,Manoj Balakrishnan,XXXX2527,Selvam Balakrishnan,7500,2026-08-11 09:00,NEFT,
T00182,XXXX1832,Manoj Balakrishnan,XXXX3591,Harish Subramaniam,1200,2026-08-13 14:00,UPI,
T00183,XXXX1832,Manoj Balakrishnan,XXXX6252,Unknown / Unlinked,200000,2026-08-03 18:00,IMPS,SUSPICIOUS_LARGE_TRANSFER
T00184,XXXX2832,Deepak Pandian,XXXX8433,Deepak Gupta,7500,2026-08-02 15:00,NEFT,
T00185,XXXX2832,Deepak Pandian,XXXX4833,Ashok Nair,2500,2026-08-04 14:00,UPI,
T00186,XXXX2832,Deepak Pandian,XXXX8433,Deepak Gupta,2500,2026-08-06 10:00,IMPS,
T00187,XXXX2832,Deepak Pandian,XXXX8433,Deepak Gupta,7500,2026-08-07 11:00,IMPS,
T00188,XXXX2832,Deepak Pandian,XXXX8433,Deepak Gupta,4000,2026-08-10 16:00,UPI,
T00189,XXXX2832,Deepak Pandian,XXXX8433,Deepak Gupta,4000,2026-08-11 18:00,NEFT,
T00190,XXXX2832,Deepak Pandian,XXXX8433,Deepak Gupta,10000,2026-08-12 15:00,UPI,
T00191,XXXX6974,Karthik Shetty,XXXX6502,Siva Pillai,1200,2026-08-01 20:00,NEFT,
T00192,XXXX6974,Karthik Shetty,XXXX2633,Rajesh Raj,10000,2026-08-02 11:00,NEFT,
T00193,XXXX6974,Karthik Shetty,XXXX4833,Ashok Nair,500,2026-08-04 20:00,NEFT,
T00194,XXXX6974,Karthik Shetty,XXXX2633,Rajesh Raj,2500,2026-08-05 12:00,UPI,
T00195,XXXX6974,Karthik Shetty,XXXX4833,Ashok Nair,4000,2026-08-06 13:00,IMPS,
T00196,XXXX6974,Karthik Shetty,XXXX4833,Ashok Nair,10000,2026-08-12 10:00,UPI,
T00197,XXXX6974,Karthik Shetty,XXXX2633,Rajesh Raj,500,2026-08-14 17:00,UPI,
T00198,XXXX3900,Vikram Shetty,XXXX6568,Arjun Menon,2500,2026-08-01 14:00,IMPS,
T00199,XXXX3900,Vikram Shetty,XXXX1027,Pandi Sundaram,500,2026-08-03 20:00,NEFT,
T00200,XXXX3900,Vikram Shetty,XXXX3780,Arun Verma,1200,2026-08-05 19:00,UPI,
T00201,XXXX3900,Vikram Shetty,XXXX3780,Arun Verma,500,2026-08-06 09:00,UPI,
T00202,XXXX3900,Vikram Shetty,XXXX1027,Pandi Sundaram,7500,2026-08-07 11:00,UPI,
T00203,XXXX3900,Vikram Shetty,XXXX1027,Pandi Sundaram,500,2026-08-08 18:00,IMPS,
T00204,XXXX3900,Vikram Shetty,XXXX3780,Arun Verma,10000,2026-08-09 17:00,UPI,
T00205,XXXX3900,Vikram Shetty,XXXX3363,Bharath Subramaniam,10000,2026-08-10 13:00,NEFT,
T00206,XXXX3900,Vikram Shetty,XXXX6568,Arjun Menon,2500,2026-08-12 20:00,IMPS,
T00207,XXXX3900,Vikram Shetty,XXXX1027,Pandi Sundaram,4000,2026-08-13 16:00,IMPS,
T00208,XXXX3900,Vikram Shetty,XXXX8381,Sabari Rao,4000,2026-08-14 10:00,UPI,
T00209,XXXX3900,Vikram Shetty,XXXX4890,Unknown / Unlinked,350000,2026-08-09 22:00,IMPS,SUSPICIOUS_LARGE_TRANSFER
T00210,XXXX3900,Vikram Shetty,XXXX4890,Unknown / Unlinked,150000,2026-08-09 18:00,IMPS,SUSPICIOUS_LARGE_TRANSFER
T00211,XXXX3900,Vikram Shetty,XXXX4890,Unknown / Unlinked,350000,2026-08-09 18:00,IMPS,SUSPICIOUS_LARGE_TRANSFER
T00212,XXXX4269,Selvam Kumar,XXXX2899,Naveen Gupta,10000,2026-08-01 15:00,UPI,
T00213,XXXX4269,Selvam Kumar,XXXX6213,Eswar Ramaswamy,500,2026-08-04 20:00,IMPS,
T00214,XXXX4269,Selvam Kumar,XXXX9702,Siva Nair,4000,2026-08-05 15:00,UPI,
T00215,XXXX4269,Selvam Kumar,XXXX9702,Siva Nair,500,2026-08-08 16:00,IMPS,
T00216,XXXX4269,Selvam Kumar,XXXX9702,Siva Nair,500,2026-08-09 17:00,NEFT,
T00217,XXXX4269,Selvam Kumar,XXXX4531,Naveen Ramaswamy,4000,2026-08-10 15:00,UPI,
T00218,XXXX4269,Selvam Kumar,XXXX9702,Siva Nair,2500,2026-08-11 17:00,NEFT,
T00219,XXXX4269,Selvam Kumar,XXXX9702,Siva Nair,10000,2026-08-12 14:00,UPI,
T00220,XXXX9346,Kannan Singh,XXXX7861,Naveen Murthy,7500,2026-08-04 19:00,NEFT,
T00221,XXXX9346,Kannan Singh,XXXX2899,Naveen Gupta,4000,2026-08-06 10:00,IMPS,
T00222,XXXX9346,Kannan Singh,XXXX2899,Naveen Gupta,7500,2026-08-07 14:00,IMPS,
T00223,XXXX9346,Kannan Singh,XXXX7999,Farook Bose,10000,2026-08-10 13:00,UPI,
T00224,XXXX9346,Kannan Singh,XXXX2899,Naveen Gupta,7500,2026-08-11 12:00,UPI,
T00225,XXXX9346,Kannan Singh,XXXX6083,Ilango Subramaniam,10000,2026-08-12 20:00,IMPS,
T00226,XXXX9346,Kannan Singh,XXXX7999,Farook Bose,1200,2026-08-14 14:00,IMPS,
T00227,XXXX9346,Kannan Singh,XXXX8480,Unknown / Unlinked,200000,2026-08-09 21:00,IMPS,SUSPICIOUS_LARGE_TRANSFER
T00228,XXXX9346,Kannan Singh,XXXX8480,Unknown / Unlinked,500000,2026-08-09 19:00,IMPS,SUSPICIOUS_LARGE_TRANSFER
T00229,XXXX9346,Kannan Singh,XXXX8480,Unknown / Unlinked,350000,2026-08-09 20:00,IMPS,SUSPICIOUS_LARGE_TRANSFER
T00230,XXXX6663,Murugan Velu,XXXX9883,Arun Mohan,2500,2026-08-01 13:00,IMPS,
T00231,XXXX6663,Murugan Velu,XXXX9883,Arun Mohan,7500,2026-08-02 17:00,NEFT,
T00232,XXXX6663,Murugan Velu,XXXX8267,Vijay Bose,4000,2026-08-04 09:00,NEFT,
T00233,XXXX6663,Murugan Velu,XXXX9883,Arun Mohan,2500,2026-08-05 20:00,UPI,
T00234,XXXX6663,Murugan Velu,XXXX2260,Karthik Velu,4000,2026-08-07 19:00,IMPS,
T00235,XXXX6663,Murugan Velu,XXXX2260,Karthik Velu,4000,2026-08-11 18:00,UPI,
T00236,XXXX6663,Murugan Velu,XXXX8267,Vijay Bose,2500,2026-08-13 15:00,NEFT,
T00237,XXXX1027,Pandi Sundaram,XXXX9179,Thiru Ramaswamy,4000,2026-08-01 20:00,NEFT,
T00238,XXXX1027,Pandi Sundaram,XXXX7999,Farook Bose,10000,2026-08-02 12:00,IMPS,
T00239,XXXX1027,Pandi Sundaram,XXXX7225,Elango Krishnan,7500,2026-08-03 09:00,NEFT,
T00240,XXXX1027,Pandi Sundaram,XXXX9179,Thiru Ramaswamy,500,2026-08-08 20:00,IMPS,
T00241,XXXX1027,Pandi Sundaram,XXXX8433,Deepak Gupta,4000,2026-08-13 18:00,NEFT,
T00242,XXXX7691,Chandran Achari,XXXX9017,Anand Shetty,500,2026-08-01 11:00,UPI,
T00243,XXXX7691,Chandran Achari,XXXX9017,Anand Shetty,4000,2026-08-02 09:00,UPI,
T00244,XXXX7691,Chandran Achari,XXXX9017,Anand Shetty,2500,2026-08-06 16:00,UPI,
